idItem,codigo,descripcion,unidad,costoUnitario,precioVenta,stock mínimo,comentarios
1,1,cable de bateria de 250 A,Und,14.5,,1,
2,2,cable de bateria de 400A,Und,19.45,,1,
3,3,faja de remolque 3.5 m,Und,7.91,,1,
4,4,cobertor semipesado T. (L),Und,74.68,,1,
5,5,cobertor semi pesado T(M),Und,68.88,,1,
6,6,placa metalica de cadena ,Und,12.71,,2,
7,7,placa metalica puas ,Und,16.86,,2,
8,8,placa metalica de araña ,Und,12.5,,2,
9,9,placa metalica palmera ,Und,11.72,,2,
10,10,tapasol plateado,Und,4.12,,1,
11,11,tapasol plateado (chicas),Und,4.95,,1,
12,12,tapasol plateado bandera,Und,4.95,,1,
13,13,tapasol plateado felinos,Und,4.95,,1,
14,14,tapasol posterior ,Und,3.61,,1,
15,15,tapasol lateral ,Und,2.45,,1,
16,16,barra platanito ,Und,55,,1,
17,17,placa nissan ,Und,10,,1,
18,18,placa zusuki,Und,10,,1,
19,19,placa toyota,Und,10,,1,
20,20,placa kia,Und,10,,1,
21,21,Foco AAA P21W  - 12v,caja,33,,1,
22,22,Foco AAA 9006 - 12v - 100 wts,caja,67.2,,1,
23,23,Foco AAA - H11 - 12v - 100 wts,caja,80,,1,
24,24,Foco Narva - H7 - 12v - 55wts,caja,110,,1,
25,25,Foco Narva - H4 - 12V - 100/90 wts,caja,92,,1,
26,26,Foco AAA - H3 - 12v - 100wts,caja,15.8,,1,
27,27,"Foco AAA - 24V - 5wts ""lagrima""",caja,13,,1,
28,28,"Foco AAA - 24V - 5wts ""lagrima""",caja,13,,1,
29,29,Foco AAA - P21/5 wts -12 V ,caja,33,,1,
30,30,Foco H4 - 12v - 60/55 wts,caja,75,,1,
31,31,Gancho remolque naranja,Und,7.91,,1,
32,32,Luz diurna forma estrella,Und,6.36,,1,
33,33,Luz HID - 9006 alsama,Und,105,,1,
34,34,Luz HID - 9005 alsama,Und,105,,1,
35,35,Luz HID - H7 alsama,Und,92.4,,1,
36,36,Tira led fuego - cristal,Und,180,,1,
37,37,Tira led neon blanco,Und,45,,1,
38,38,modulo elevalunas,Und,70,,1,
39,39,alarma prestige,Und,200,,1,
40,40,alarma genius,Und,68.46,,1,
41,41,Foco led para moto,Und,,,1,
42,42,luz diurna ROMA tipo platanito (2 colores),Und,20,,1,
43,43,foco lágrima 07 colores,Und,2,,1,
44,44,Foco lagrima 02 contacto ROJO,Und,2,,1,
45,45,foco lagrima 01 contacto ROJO,Und,2,,1,
46,46,foco lagrima 02 contacto CIELO,Und,2,,1,
47,47,foco lagrima 01 contacto VERDE,Und,2,,1,
48,48,foco lagrima 01 contacto AZUL,Und,2,,1,
49,49,foco lagrima 02 contacto AZUL,Und,2,,1,
50,50,foco lagrima 02 contacto BLANCO,Und,2,,1,
51,51,foco lagrima 01 contacto BLANCO,Und,2,,1,
52,52,Foco salon led,Und,2.5,,1,
53,53,foco tablero AZUL,Und,1,,1,
54,54,foco tablero BLANCO,Und,1,,1,
55,55,foco tipo choclo base plana,Und,2.5,,1,
56,56,foco tipo choclo base redonda,Und,2.5,,1,
57,57,"foco NARVA - H4 - 60/55 ""BLANCO""",PAR,30,,1,
58,58,foco KAIER -H11 - BLANCO,PAR,22,,1,
59,59,tira agua,par,5,,1,
60,60,"ojo de aguila ""AZUL""",PAR,11.5,,1,
61,61,Perilla de cuero,Und,19.68,,1,
62,62,protector para puertas TRD,caja,10,,1,
63,63,sticker para carros,Und,3,,1,
64,64,cinturon ROSADO,PAR,63.26,,1,
65,65,correa jalador ,PAR,,,1,
66,66,cable para iphone,Und,9.7,,1,
67,67,protector para puertas antiguos,Und,-,,1,
68,68,adornos para carros,PAR,-,,1,
69,69,portaplaca metal de marcas,Und,10,,1,
70,70,tapasol de malla grande,Und,3.61,,1,
71,71,tapasol de malla pequeño,Und,2.45,,1,
72,72,"plumillas de 18""",PAR,9,,1,
73,73,"plumillas de 20""",PAR,10,,1,
74,74,portaplaca NEON - BLANCO,Und,15,,1,
75,75,portaplaca NEON - LILA,Und,15,,1,
76,76,portaplaca NEON - VERDE,Und,15,,1,
77,77,portaplaca NEON - ROJO,Und,15,,1,
78,78,portaplaca LED - ROJO,Und,19,,1,
79,79,portaplaca LED - VERDE,Und,19,,1,
80,80,portaplaca LED - RGB,Und,19,,1,
81,81,portaplaca LED - BLANCO,Und,19,,1,
82,82,sensor de retroceso,Und,65.6,,1,
83,83,camara de retroceso INFRAROJO,Und,65.6,,1,
84,84,camara de retroceso LED,Und,65.6,,1,
85,85,camara de retroceso NORMAL,Und,65.6,,1,
86,86,claxon platillo BOSH,Und,38,,1,
87,87,retrovisor DVR,Und,135.22,,1,
88,88,antena tiburon PLOMO,Und,20.65,,1,
89,89,"Trabagas ""TEMBA""",Und,,,1,
90,90,"Trabagas "" autorus""",Und,-,,1,
91,91,pestillos - cierre centralizado,Und,32.04,,1,
92,92,HID - XENON -H4,Und,115.5,,1,
93,93,Ojo de angel BLANCO,Und,100,,1,
94,94,Ojo de angel AZUL,Und,100,,1,
95,95,luz diurna ROMA FDN-103,Und,26,,1,
96,96,Barra de 12 led AMARILLO,PAR,70,,1,
97,97,luz platanito AMARILLO,PAR,27.5,,1,
98,98,Barra dual de 24 led,par,65,,1,
99,99,barra 6 led AZUL,PAR,35,,1,
100,100,barra 6 led NEGRO,PAR,35,,1,
101,101,claxon platillo HELLA,Und,24,,1,
102,102,claxon caracol SAFARI,Und,14.84,,1,
103,103,portaplaca de fibra de carbono,Und,20,,1,
104,104,portaplaca de metal AZUL,Und,6,,1,
105,105,portaplaca de metal DORADO,Und,6,,1,
106,106,portaplaca de metal VERDE,Und,6,,1,
107,107,portaplaca de metal ROJO,Und,6,,1,
108,108,HID para moto,Und,,,1,
109,109,cinta led 3M - AMARILLO,ROLLO,20,,1,
110,110,cinta led 3M - AZUL,ROLLO,20,,1,
111,111,cinta led 3M - ROJO,ROLLO,20,,1,
112,112,cinta led 3M - VERDE,ROLLO,20,,1,
113,113,cinta led 3M - BLANCO,ROLLO,20,,1,
114,114,Luz led de moto H14,Und,40,,1,
115,115,Luz led de moto H16,Und,40,,1,
116,116,Luz led de moto H17,Und,35,,1,
117,117,Jalador de remolque 3 tn,Und,7.91,,1,
118,118,covertor talla M,Und,68.88,,1,
119,119,tuerca racing negra,caja,90,,1,
120,120,tuerca racing verde,caja,90,,1,
121,121,tuerca racing dorado,caja,90,,1,
122,122,tuerca racing azul,caja,90,,1,
123,123,jalador tornozolado delantero,Und,38,,1,
124,124,jalador tornozolado posterior,Und,93,,1,
125,125,Componente JBL 210Wts,Und,240,,1,
126,126,Componente PowerBass 210 Wts,Und,150,,1,
127,127,Parlante redondo Pioneer  350 WTs TS-A16876S,Und,170,,1,
128,128,Parlante redondO Pioneer 250 WTs TS-R1650S,Und,120,,1,
129,129,Parlante obalado Pioneer 650 Wts TS-A6996S,Und,225,,1,
130,130,Parlante obalado Pioneer 400Wts TS-R6951S,Und,130,,1,
131,131,Parlante redondo Sony x5-FD1030 - 10cm/ 220Wts,Und,80,,1,
132,132,twiteer soundstreeam 110w,Und,-,,1,
133,133,twitter celestium,Und,7,,1,
134,134,SuBuffer Pioneer 1400 Wts,Und,180,,1,
135,135,pantalla pioneer 2850BT,Und,700,,1,
136,136,pioneer x1950UB autoradio,Und,235,,1,
137,137,Radio Pioneer DEH-X5 Bloutouh,Und,340,,1,
138,138,Radio Kenwood 365 Bloutouh,Und,360,,1,
139,139,Amplificador Soundstream 1200 Wts/4 canales,Und,280,,1,
140,140,Amplificador black hawk 1400 Wts/5canales,Und,330,,1,
141,141,Kit de instalación KOMBAT,Und,70,,1,
142,142,convertidor de señales KOMBAT,Und,37,,1,
143,143,portafusible para amplificador,Und,9,,1,
144,144,cable RCA - KOMBAT - 3 metros,Und,11,,1,
145,145,"Cable ""Y"" KOMBAT",Und,5,,1,
146,146,fusibles para amplificador,Und,2,,1,
147,147,claxon caracol HELLA,Und,36.44,,1,
148,148,Claxon 2 cornetas HELLA,Und,61.86,,1,
149,149,Claxon caracol BOSH,Und,33.9,,1,
150,150,HID - h11,Und,92.4,,1,
151,151,HID - h1,Und,92.4,,1,
152,152,foco neblinero empotrado,Und,39,,1,
153,153,foco 9 puntos (c/angel,Und,80,,1,
154,154,foco jebe tipo ojo de angel,Und,20,,1,
155,155,foco de salon grande cuadrado,Und,4,,1,
